ips                                                                                                                                                           kind       count  percent  code
0x404ca2|0x7ffff7c3a090|0x40391c|0x403996|0x4039c7|0x4039c7|0x4039c7|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                    wrprotect  3778   1         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:47 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40392e|0x403996|0x4039c7|0x4039c7|0x4039c7|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                    read       3712   1         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:30 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40392e|0x403996|0x4039a8|0x4039a8|0x4039a8|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                    read       2791   1         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:30 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40391c|0x403996|0x4039a8|0x4039a8|0x4039a8|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                    wrprotect  2781   1         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:47 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40391f|0x403996|0x4039c7|0x4039a8|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                             wrprotect  2289   0         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:48 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40391f|0x403996|0x4039a8|0x4039a8|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                             wrprotect  2287   0         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:48 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40394b|0x403996|0x4039c7|0x4039a8|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                             read       2174   0         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:42 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40392e|0x403996|0x4039c7|0x4039c7|0x4039a8|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                    read       2171   0         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:30 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40392e|0x403996|0x4039c7|0x4039c7|0x4039c7|0x4039c7|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|           read       2107   0         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:30 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:72 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40394b|0x403996|0x4039a8|0x4039a8|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                             read       1974   0         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:42 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
