name,percent,loc,floc,local,app,lmemp,input
fluidanimate_95,95.0,-1,3,False,,fluidanimate,100,native
fluidanimate_95,95.0,-1,3,False,,fluidanimate,95,native
fluidanimate_95,95.0,-1,6,False,,fluidanimate,90,native
fluidanimate_95,95.0,-1,7,False,,fluidanimate,85,native
fluidanimate_95,95.0,-1,10,False,,fluidanimate,80,native
fluidanimate_95,95.0,-1,12,False,,fluidanimate,75,native
fluidanimate_95,95.0,-1,9,False,,fluidanimate,70,native
fluidanimate_95,95.0,-1,8,False,,fluidanimate,65,native
fluidanimate_95,95.0,-1,9,False,,fluidanimate,60,native
fluidanimate_95,95.0,-1,9,False,,fluidanimate,55,native
fluidanimate_95,95.0,-1,8,False,,fluidanimate,50,native
fluidanimate_95,95.0,-1,9,False,,fluidanimate,45,native
fluidanimate_95,95.0,-1,8,False,,fluidanimate,40,native
fluidanimate_95,95.0,-1,9,False,,fluidanimate,35,native
fluidanimate_95,95.0,-1,12,False,,fluidanimate,30,native
fluidanimate_95,95.0,-1,16,False,,fluidanimate,25,native
fluidanimate_95,95.0,-1,17,False,,fluidanimate,20,native
fluidanimate_95,95.0,-1,19,False,,fluidanimate,15,native
fluidanimate_95,95.0,-1,19,False,,fluidanimate,10,native
fluidanimate_95,95.0,-1,19,False,,fluidanimate,5,native
