name,percent,loc,floc,local,app,lmemp
mcached_95,95.0,-1,0,False,mcached,100
mcached_95,95.0,-1,0,False,mcached,95
mcached_95,95.0,-1,0,False,mcached,90
mcached_95,95.0,-1,8,False,mcached,85
mcached_95,95.0,-1,6,False,mcached,80
mcached_95,95.0,-1,7,False,mcached,75
mcached_95,95.0,-1,8,False,mcached,70
mcached_95,95.0,-1,9,False,mcached,65
mcached_95,95.0,-1,10,False,mcached,60
mcached_95,95.0,-1,11,False,mcached,55
mcached_95,95.0,-1,12,False,mcached,50
mcached_95,95.0,-1,11,False,mcached,45
mcached_95,95.0,-1,12,False,mcached,40
mcached_95,95.0,-1,11,False,mcached,35
mcached_95,95.0,-1,11,False,mcached,30
mcached_95,95.0,-1,11,False,mcached,25
mcached_95,95.0,-1,10,False,mcached,20
mcached_95,95.0,-1,12,False,mcached,15
mcached_95,95.0,-1,12,False,mcached,10
mcached_95,95.0,-1,13,False,mcached,5
