name,percent,loc,floc,local,app,lmemp
redis_95,95.0,-1,0,False,redis,100
redis_95,95.0,-1,0,False,redis,95
redis_95,95.0,-1,6,False,redis,90
redis_95,95.0,-1,7,False,redis,85
redis_95,95.0,-1,7,False,redis,80
redis_95,95.0,-1,7,False,redis,75
redis_95,95.0,-1,7,False,redis,70
redis_95,95.0,-1,7,False,redis,65
redis_95,95.0,-1,7,False,redis,60
redis_95,95.0,-1,7,False,redis,55
redis_95,95.0,-1,7,False,redis,50
redis_95,95.0,-1,8,False,redis,45
redis_95,95.0,-1,8,False,redis,40
redis_95,95.0,-1,8,False,redis,35
redis_95,95.0,-1,8,False,redis,30
redis_95,95.0,-1,9,False,redis,25
redis_95,95.0,-1,9,False,redis,20
redis_95,95.0,-1,10,False,redis,15
redis_95,95.0,-1,10,False,redis,10
redis_95,95.0,-1,11,False,redis,5
