name,percent,loc,floc,local,app,lmemp
redis_100,100.0,-1,0,False,redis,100
redis_100,100.0,-1,0,False,redis,95
redis_100,100.0,-1,147,False,redis,90
redis_100,100.0,-1,230,False,redis,85
redis_100,100.0,-1,203,False,redis,80
redis_100,100.0,-1,207,False,redis,75
redis_100,100.0,-1,234,False,redis,70
redis_100,100.0,-1,264,False,redis,65
redis_100,100.0,-1,255,False,redis,60
redis_100,100.0,-1,261,False,redis,55
redis_100,100.0,-1,277,False,redis,50
redis_100,100.0,-1,292,False,redis,45
redis_100,100.0,-1,302,False,redis,40
redis_100,100.0,-1,309,False,redis,35
redis_100,100.0,-1,326,False,redis,30
redis_100,100.0,-1,335,False,redis,25
redis_100,100.0,-1,356,False,redis,20
redis_100,100.0,-1,360,False,redis,15
redis_100,100.0,-1,394,False,redis,10
redis_100,100.0,-1,453,False,redis,5
