name,percent,loc,floc,local,app,lmemp
leveldb_100,100.0,-1,0,False,leveldb,100
leveldb_100,100.0,-1,0,False,leveldb,95
leveldb_100,100.0,-1,193,False,leveldb,90
leveldb_100,100.0,-1,246,False,leveldb,85
leveldb_100,100.0,-1,265,False,leveldb,80
leveldb_100,100.0,-1,351,False,leveldb,75
leveldb_100,100.0,-1,387,False,leveldb,70
leveldb_100,100.0,-1,392,False,leveldb,65
leveldb_100,100.0,-1,430,False,leveldb,60
leveldb_100,100.0,-1,410,False,leveldb,55
leveldb_100,100.0,-1,431,False,leveldb,50
leveldb_100,100.0,-1,489,False,leveldb,45
leveldb_100,100.0,-1,491,False,leveldb,40
leveldb_100,100.0,-1,514,False,leveldb,35
leveldb_100,100.0,-1,539,False,leveldb,30
leveldb_100,100.0,-1,565,False,leveldb,25
leveldb_100,100.0,-1,575,False,leveldb,20
leveldb_100,100.0,-1,595,False,leveldb,15
leveldb_100,100.0,-1,636,False,leveldb,10
leveldb_100,100.0,-1,686,False,leveldb,5
