nconns,mpps,konamem,scores,system,app,background,transport,spin,nconns,threads,offered,achieved,p50,p90,p99,p999,p9999,distribution,TX_PULLED,RX_PULLED,IOK_SATURATION,RX_UNICAST_FAIL,n_faults,n_faults_r,n_faults_w,n_net_page_in,n_net_page_out,n_madvise,n_madvise_fail,n_rw_fault_q,n_page_dirty,n_faults_wp,n_flush_fail,n_evictions,n_afaults_r,n_afaults_w,n_afaults,malloc_size,mem_pressure,outstanding,PERF_EVICT_TOTAL,PERF_EVICT_WP,PERF_RDMA_WRITE,PERF_POLLER_READ,PERF_POLLER_UFFD_COPY,PERF_HANDLER_RW,PERF_PAGE_READ,PERF_EVICT_WRITE,PERF_HANDLER_FAULT,PERF_EVICT_MADVISE,PERF_HANDLER_MADV_NOTIF,PERF_HANDLER_FAULT_Q,rxpkt,txpkt,drops,cpupct,stolenpct,migratedpct,localschedpct,parks,rescheds,pf_retries
100,2,1000,6,shenango,memcached,None,udp,False,100,6,1995663,219228,inf,inf,inf,inf,inf,zero,219152,1994334,0.0216467608037,1775161,110550,110059,22,110081,492,110081,0,0,492,467,0,110081,0,0,0,1920991232,989986542,7,12527,10087,842,17630,12204,2659,73897,7983,5428,10846,0,0,216600,216601,0,592.9926445,0,0,100,1,243846,0
100,2,1200,6,shenango,memcached,None,udp,False,100,6,1995661,276441,inf,inf,inf,inf,inf,zero,276608,1991727,0.0175155272766,1715460,111656,111017,24,111038,634,111137,0,0,634,615,0,111137,0,0,0,1920991232,1188377804,7,13439,10123,852,17716,12259,2662,69317,7917,5306,11034,0,5745,273871,273871,0,600.271168505,0,0,100,0,308278,0
100,2,1400,6,shenango,memcached,None,udp,False,100,6,1995559,373061,inf,inf,inf,inf,inf,zero,373111,1993200,0.0251847665055,1620243,110588,109727,23,109747,2568,109865,0,1485,2568,837,-1,109865,0,0,0,1920991232,1386452992,7,14154,10269,821,17704,12261,2673,63149,7854,5322,11221,0,11660,370877,370877,0,600.272963209,0,0,100,0,417462,0
100,2,1600,6,shenango,memcached,None,udp,False,100,6,1994268,583388,inf,inf,inf,inf,inf,zero,575462,1946981,0.0210660532939,1371893,109640,108306,21,108324,4501,108459,0,2643,4501,1311,0,108459,0,0,0,1920991232,1585054378,7,15030,10437,773,17669,12269,2697,52500,7731,5382,11321,0,17247,583322,583322,0,600.270443385,0,0,100,0,656577,0
100,2,1800,6,shenango,memcached,None,udp,False,100,6,1990894,1308532,inf,inf,inf,inf,inf,zero,1304717,1988976,0.0476710303249,684294,100748,97861,21,97877,10645,98029,0,6705,10645,2865,0,98029,0,0,0,1920991232,1784386355,7,17880,11068,741,17327,11956,2813,28303,7669,5530,12212,0,22145,1297880,1297880,0,600.271055995,0,0,100,0,1463911,0
100,2,2000,6,shenango,memcached,None,udp,False,100,6,1990595,1990145,inf,inf,inf,inf,inf,zero,1977117,1977139,0.0381132144861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920991232,1920991232,0,0,0,0,0,0,0,0,0,0,0,0,0,1986818,1986818,0,361.066905032,0,0,100,20303,3115576,0
