nconns,mpps,konamem,scores,system,app,background,transport,spin,nconns,threads,offered,achieved,p50,p90,p99,p999,p9999,distribution,TX_PULLED,RX_PULLED,IOK_SATURATION,RX_UNICAST_FAIL,n_faults,n_faults_r,n_faults_w,n_net_page_in,n_net_page_out,n_madvise,n_madvise_fail,n_rw_fault_q,n_page_dirty,n_faults_wp,n_flush_fail,n_evictions,n_afaults_r,n_afaults_w,n_afaults,malloc_size,mem_pressure,outstanding,PERF_EVICT_TOTAL,PERF_EVICT_WP,PERF_RDMA_WRITE,PERF_POLLER_READ,PERF_POLLER_UFFD_COPY,PERF_HANDLER_RW,PERF_PAGE_READ,PERF_EVICT_WRITE,PERF_HANDLER_FAULT,PERF_EVICT_MADVISE,PERF_HANDLER_MADV_NOTIF,PERF_HANDLER_FAULT_Q,rxpkt,txpkt,drops,cpupct,stolenpct,migratedpct,localschedpct,parks,rescheds,pf_retries
100,2,1000,5,shenango,memcached,None,udp,False,100,5,1995387,250638,inf,inf,inf,inf,inf,zero,250530,1993647,0.0207646339413,1743099,126651,126072,28,126101,574,126101,0,105984,574,550,0,126101,122314,0,122316,1920991232,1000001536,5,15267,11976,762,11759,6346,2448,13761,7780,2776,13309,0,41861,243360,243359,0,500.24117863,0,0,100,0,273892,0
100,2,1200,5,shenango,memcached,None,udp,False,100,5,1995168,317643,inf,inf,inf,inf,inf,zero,314092,1990794,0.0167296109787,1676667,127048,126315,25,126341,1500,126341,0,102853,1500,707,0,126341,122531,0,122532,1920991232,1200000477,6,15841,11912,801,11944,6261,2466,14036,7801,3079,13539,0,42127,308895,308895,0,500.241389517,0,0,100,0,347651,0
100,2,1400,5,shenango,memcached,None,udp,False,100,5,1994580,427469,inf,inf,inf,inf,inf,zero,425396,1968028,0.0241115086673,1542959,124496,123511,24,123536,3375,123536,0,96293,3375,960,0,123536,119823,0,119825,1920991232,1400000375,6,16415,11797,758,11868,6336,2494,14166,7680,3117,13158,0,42813,426448,426448,0,500.242207627,0,0,100,0,479952,0
100,2,1600,5,shenango,memcached,None,udp,False,100,5,1993558,669365,inf,inf,inf,inf,inf,zero,667411,1992075,0.0214202502119,1324651,120794,119260,25,119285,5671,119420,0,64790,5671,1509,0,119420,115702,0,115706,1920991232,1599463697,5,17629,11853,760,12164,6521,2640,15941,7659,4080,13235,0,39824,668907,668908,0,499.984274053,0,0,100,0,752834,0
100,2,1800,5,shenango,memcached,None,udp,False,100,5,1990875,1306916,inf,inf,inf,inf,inf,zero,1285191,1936787,0.0413185705189,651872,101408,98463,22,98486,9378,98638,0,5903,9378,2921,0,98638,95517,0,95521,1920991232,1784390587,5,18678,11651,751,12120,6502,2942,16538,7837,6185,12950,0,19755,1300988,1300989,0,500.16754722,0,0,100,0,1486113,0
100,2,2000,5,shenango,memcached,None,udp,False,100,5,1990202,1989770,inf,inf,inf,inf,inf,zero,1988913,1988936,0.039660885842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920991232,1920991232,0,0,0,0,0,0,0,0,0,0,0,0,0,1982583,1982583,0,364.58271495,0,8,100,19202,3089021,0
