nconns,mpps,konamem,scores,system,app,background,transport,spin,nconns,threads,offered,achieved,p50,p90,p99,p999,p9999,distribution,TX_PULLED,RX_PULLED,IOK_SATURATION,RX_UNICAST_FAIL,n_faults,n_faults_r,n_faults_w,n_net_page_in,n_net_page_out,n_madvise,n_madvise_fail,n_rw_fault_q,n_page_dirty,n_faults_wp,n_flush_fail,n_evictions,n_afaults_r,n_afaults_w,n_afaults,malloc_size,mem_pressure,outstanding,PERF_EVICT_TOTAL,PERF_EVICT_WP,PERF_RDMA_WRITE,PERF_POLLER_READ,PERF_POLLER_UFFD_COPY,PERF_HANDLER_RW,PERF_PAGE_READ,PERF_EVICT_WRITE,PERF_HANDLER_FAULT,PERF_EVICT_MADVISE,PERF_HANDLER_MADV_NOTIF,PERF_HANDLER_FAULT_Q,rxpkt,txpkt,drops,cpupct,stolenpct,migratedpct,localschedpct,parks,rescheds,pf_retries
100,2,1000,6,shenango,memcached,None,udp,False,100,6,1995228,271655,inf,inf,inf,inf,inf,zero,271297,1988585,0.0267869783134,1717721,137349,136724,33,136457,622,136391,0,75364,622,591,0,136391,132633,0,132702,1920991232,998186325,192,13705,10967,845,13436,7540,2726,558377,7985,4185,11993,0,2094537,271950,271952,0,600.289702753,0,0,100,0,15254647,14823596
100,2,1200,6,shenango,memcached,None,udp,False,100,6,1994492,341763,inf,inf,inf,inf,inf,zero,340354,1992560,0.0212136923808,1652179,136164,135373,31,135023,787,135023,0,102809,787,758,0,135023,131326,0,131424,1920991232,1200000614,57,14405,10981,844,13247,7363,2599,66449,7796,3258,12115,0,2960552,339181,339181,0,600.302854734,0,0,100,0,15935546,15435171
100,2,1400,6,shenango,memcached,None,udp,False,100,6,1993951,461942,inf,inf,inf,inf,inf,zero,457008,1942736,0.0325605351308,1486185,133929,132871,28,132411,2613,132411,0,101363,2613,1030,0,132411,128894,0,129025,1920991232,1400000375,71,15035,10828,808,13173,7323,2624,55979,7925,3282,12108,0,3067528,459837,459832,0,600.315913905,0,0,100,0,13672681,13044971
100,2,1600,6,shenango,memcached,None,udp,False,100,6,1993275,736835,inf,inf,inf,inf,inf,zero,736568,1991960,0.0269120608396,1255362,132688,130986,30,130324,4759,130459,0,100028,4759,1671,0,130459,127065,0,127274,1920991232,1599463833,121,15493,10679,791,12956,7329,2650,58527,7879,3346,11948,0,3108470,736614,736648,0,599.218224673,0,0,100,0,10019582,9099252
100,2,1800,6,shenango,memcached,None,udp,False,100,6,1989509,1786624,inf,inf,inf,inf,inf,zero,1784779,1987776,0.0618067507403,203189,122526,118443,28,118395,9778,118547,0,96743,9778,4054,0,118547,114898,0,115282,1920991232,1799400652,43,17453,11121,754,12855,7089,2753,23743,7901,3432,12378,0,2505621,1779788,1779827,0,595.101617946,0,0,100,6,2755070,810538
100,2,2000,6,shenango,memcached,None,udp,False,100,6,1990137,1989373,inf,inf,inf,inf,inf,zero,1986431,1986453,0.0402432280974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920991232,1920991232,0,0,0,0,0,0,0,0,0,0,0,0,0,1967369,1967369,0,365.068013981,0,0,100,26058,3021629,0
