name,percent,loc,floc,local,app,lmemp,input
fluidanimate_100,100.0,-1,213,False,,fluidanimate,5,native
fluidanimate_100,100.0,-1,190,False,,fluidanimate,10,native
fluidanimate_100,100.0,-1,182,False,,fluidanimate,15,native
fluidanimate_100,100.0,-1,175,False,,fluidanimate,20,native
fluidanimate_100,100.0,-1,168,False,,fluidanimate,25,native
fluidanimate_100,100.0,-1,158,False,,fluidanimate,30,native
fluidanimate_100,100.0,-1,148,False,,fluidanimate,35,native
fluidanimate_100,100.0,-1,135,False,,fluidanimate,40,native
fluidanimate_100,100.0,-1,118,False,,fluidanimate,45,native
fluidanimate_100,100.0,-1,151,False,,fluidanimate,50,native
fluidanimate_100,100.0,-1,121,False,,fluidanimate,55,native
fluidanimate_100,100.0,-1,155,False,,fluidanimate,60,native
fluidanimate_100,100.0,-1,144,False,,fluidanimate,65,native
fluidanimate_100,100.0,-1,116,False,,fluidanimate,70,native
fluidanimate_100,100.0,-1,114,False,,fluidanimate,75,native
fluidanimate_100,100.0,-1,102,False,,fluidanimate,80,native
fluidanimate_100,100.0,-1,57,False,,fluidanimate,85,native
fluidanimate_100,100.0,-1,58,False,,fluidanimate,90,native
fluidanimate_100,100.0,-1,42,False,,fluidanimate,100,native
