name,percent,loc,floc,local,app,lmemp,input
dedup_95,95.0,-1,17,False,,dedup,100,simlarge
dedup_95,95.0,-1,16,False,,dedup,100,simlarge
dedup_95,95.0,-1,17,False,,dedup,95,simlarge
dedup_95,95.0,-1,17,False,,dedup,90,simlarge
dedup_95,95.0,-1,18,False,,dedup,85,simlarge
dedup_95,95.0,-1,18,False,,dedup,80,simlarge
dedup_95,95.0,-1,19,False,,dedup,75,simlarge
dedup_95,95.0,-1,20,False,,dedup,70,simlarge
dedup_95,95.0,-1,20,False,,dedup,65,simlarge
dedup_95,95.0,-1,22,False,,dedup,60,simlarge
dedup_95,95.0,-1,22,False,,dedup,55,simlarge
dedup_95,95.0,-1,59,False,,dedup,50,simlarge
dedup_95,95.0,-1,63,False,,dedup,45,simlarge
dedup_95,95.0,-1,26,False,,dedup,40,simlarge
dedup_95,95.0,-1,26,False,,dedup,35,simlarge
dedup_95,95.0,-1,30,False,,dedup,30,simlarge
dedup_95,95.0,-1,32,False,,dedup,25,simlarge
dedup_95,95.0,-1,33,False,,dedup,20,simlarge
dedup_95,95.0,-1,39,False,,dedup,15,simlarge
dedup_95,95.0,-1,43,False,,dedup,10,simlarge
dedup_95,95.0,-1,95,False,,dedup,5,simlarge
