name,percent,loc,floc,local,app,lmemp,input
dedup_100,100.0,-1,115,False,,dedup,100,simlarge
dedup_100,100.0,-1,115,False,,dedup,100,simlarge
dedup_100,100.0,-1,113,False,,dedup,95,simlarge
dedup_100,100.0,-1,110,False,,dedup,90,simlarge
dedup_100,100.0,-1,122,False,,dedup,85,simlarge
dedup_100,100.0,-1,117,False,,dedup,80,simlarge
dedup_100,100.0,-1,116,False,,dedup,75,simlarge
dedup_100,100.0,-1,175,False,,dedup,70,simlarge
dedup_100,100.0,-1,184,False,,dedup,65,simlarge
dedup_100,100.0,-1,171,False,,dedup,60,simlarge
dedup_100,100.0,-1,186,False,,dedup,55,simlarge
dedup_100,100.0,-1,269,False,,dedup,50,simlarge
dedup_100,100.0,-1,279,False,,dedup,45,simlarge
dedup_100,100.0,-1,251,False,,dedup,40,simlarge
dedup_100,100.0,-1,260,False,,dedup,35,simlarge
dedup_100,100.0,-1,315,False,,dedup,30,simlarge
dedup_100,100.0,-1,327,False,,dedup,25,simlarge
dedup_100,100.0,-1,314,False,,dedup,20,simlarge
dedup_100,100.0,-1,325,False,,dedup,15,simlarge
dedup_100,100.0,-1,357,False,,dedup,10,simlarge
dedup_100,100.0,-1,450,False,,dedup,5,simlarge
