name,percent,loc,floc,local,app,lmemp,input
connected-components_10,100.0,-1,39,False,connected-components,10,native
connected-components_100,100.0,-1,0,False,connected-components,100,native
connected-components_15,100.0,-1,37,False,connected-components,15,native
connected-components_20,100.0,-1,41,False,connected-components,20,native
connected-components_25,100.0,-1,36,False,connected-components,25,native
connected-components_30,100.0,-1,37,False,connected-components,30,native
connected-components_35,100.0,-1,39,False,connected-components,35,native
connected-components_40,100.0,-1,37,False,connected-components,40,native
connected-components_45,100.0,-1,38,False,connected-components,45,native
connected-components_5,100.0,-1,40,False,connected-components,5,native
connected-components_50,100.0,-1,39,False,connected-components,50,native
connected-components_55,100.0,-1,36,False,connected-components,55,native
connected-components_60,100.0,-1,36,False,connected-components,60,native
connected-components_65,100.0,-1,34,False,connected-components,65,native
connected-components_70,100.0,-1,35,False,connected-components,70,native
connected-components_75,100.0,-1,30,False,connected-components,75,native
connected-components_80,100.0,-1,26,False,connected-components,80,native
connected-components_85,100.0,-1,24,False,connected-components,85,native
connected-components_90,100.0,-1,24,False,connected-components,90,native
connected-components_95,100.0,-1,24,False,connected-components,95,native
