name,percent,loc,floc,local,app,lmemp,input
facesim_95,95.0,-1,0,False,facesim,100,native
facesim_95,95.0,-1,13,False,facesim,95,native
facesim_95,95.0,-1,16,False,facesim,90,native
facesim_95,95.0,-1,16,False,facesim,85,native
facesim_95,95.0,-1,16,False,facesim,80,native
facesim_95,95.0,-1,21,False,facesim,75,native
facesim_95,95.0,-1,20,False,facesim,70,native
facesim_95,95.0,-1,20,False,facesim,65,native
facesim_95,95.0,-1,44,False,facesim,60,native
facesim_95,95.0,-1,63,False,facesim,55,native
facesim_95,95.0,-1,68,False,facesim,50,native
facesim_95,95.0,-1,73,False,facesim,45,native
facesim_95,95.0,-1,72,False,facesim,40,native
facesim_95,95.0,-1,72,False,facesim,35,native
facesim_95,95.0,-1,68,False,facesim,30,native
facesim_95,95.0,-1,66,False,facesim,25,native
facesim_95,95.0,-1,67,False,facesim,20,native
facesim_95,95.0,-1,65,False,facesim,15,native
facesim_95,95.0,-1,62,False,facesim,10,native
facesim_95,95.0,-1,36,False,facesim,5,native
