name,percent,loc,floc,local,app,lmemp
rocksdb_95,95.0,-1,8,False,,rocksdb,100
rocksdb_95,95.0,-1,12,False,,rocksdb,95
rocksdb_95,95.0,-1,13,False,,rocksdb,90
rocksdb_95,95.0,-1,14,False,,rocksdb,85
rocksdb_95,95.0,-1,13,False,,rocksdb,80
rocksdb_95,95.0,-1,13,False,,rocksdb,75
rocksdb_95,95.0,-1,12,False,,rocksdb,70
rocksdb_95,95.0,-1,12,False,,rocksdb,65
rocksdb_95,95.0,-1,12,False,,rocksdb,60
rocksdb_95,95.0,-1,12,False,,rocksdb,55
rocksdb_95,95.0,-1,12,False,,rocksdb,50
rocksdb_95,95.0,-1,11,False,,rocksdb,45
rocksdb_95,95.0,-1,11,False,,rocksdb,40
rocksdb_95,95.0,-1,10,False,,rocksdb,35
rocksdb_95,95.0,-1,8,False,,rocksdb,30
rocksdb_95,95.0,-1,8,False,,rocksdb,25
rocksdb_95,95.0,-1,8,False,,rocksdb,20
rocksdb_95,95.0,-1,7,False,,rocksdb,15
rocksdb_95,95.0,-1,6,False,,rocksdb,10
rocksdb_95,95.0,-1,9,False,,rocksdb,5
