name,percent,loc,floc,local,app,lmemp
rocksdb_100,100.0,-1,0,False,rocksdb,100
rocksdb_100,100.0,-1,176,False,rocksdb,95
rocksdb_100,100.0,-1,316,False,rocksdb,90
rocksdb_100,100.0,-1,469,False,rocksdb,85
rocksdb_100,100.0,-1,545,False,rocksdb,80
rocksdb_100,100.0,-1,622,False,rocksdb,75
rocksdb_100,100.0,-1,657,False,rocksdb,70
rocksdb_100,100.0,-1,699,False,rocksdb,65
rocksdb_100,100.0,-1,794,False,rocksdb,60
rocksdb_100,100.0,-1,765,False,rocksdb,55
rocksdb_100,100.0,-1,772,False,rocksdb,50
rocksdb_100,100.0,-1,772,False,rocksdb,45
rocksdb_100,100.0,-1,813,False,rocksdb,40
rocksdb_100,100.0,-1,837,False,rocksdb,35
rocksdb_100,100.0,-1,854,False,rocksdb,30
rocksdb_100,100.0,-1,928,False,rocksdb,25
rocksdb_100,100.0,-1,965,False,rocksdb,20
rocksdb_100,100.0,-1,1016,False,rocksdb,15
rocksdb_100,100.0,-1,1204,False,rocksdb,10
rocksdb_100,100.0,-1,1319,False,rocksdb,5
