name,percent,loc,floc,local,app,lmemp
leveldb_95,95.0,-1,0,False,leveldb,100
leveldb_95,95.0,-1,0,False,leveldb,95
leveldb_95,95.0,-1,11,False,leveldb,90
leveldb_95,95.0,-1,11,False,leveldb,85
leveldb_95,95.0,-1,11,False,leveldb,80
leveldb_95,95.0,-1,9,False,leveldb,75
leveldb_95,95.0,-1,8,False,leveldb,70
leveldb_95,95.0,-1,10,False,leveldb,65
leveldb_95,95.0,-1,10,False,leveldb,60
leveldb_95,95.0,-1,8,False,leveldb,55
leveldb_95,95.0,-1,7,False,leveldb,50
leveldb_95,95.0,-1,7,False,leveldb,45
leveldb_95,95.0,-1,7,False,leveldb,40
leveldb_95,95.0,-1,8,False,leveldb,35
leveldb_95,95.0,-1,9,False,leveldb,30
leveldb_95,95.0,-1,10,False,leveldb,25
leveldb_95,95.0,-1,10,False,leveldb,20
leveldb_95,95.0,-1,10,False,leveldb,15
leveldb_95,95.0,-1,11,False,leveldb,10
leveldb_95,95.0,-1,13,False,leveldb,5
